Starting at /data/ling_shared/garciag/SkeletonV1/Supercomputer
node file /var/spool/pbs/aux/1121686.batch
0 ['#1:x', '2:y', '3:z', '4:n.x', '5:n.y', '6:n.z']
0 ['-0.582924', '-0.0815108', '-0.0815108', '-0.654666', '-0.172667', '-0.172667']
1 ['-0.569502', '-0.107422', '-0.107422', '-0.725522', '-0.137239', '-0.137239']
2 ['-0.57469', '-0.107422', '-0.0878906', '-0.69189', '-0.14516', '-0.16295']
3 ['-0.57469', '-0.0878906', '-0.107422', '-0.69189', '-0.16295', '-0.14516']
4 ['-0.579451', '-0.089008', '-0.089008', '-0.679468', '-0.160266', '-0.160266']
5 ['-0.582211', '-0.117667', '-0.000479104', '-0.708817', '-0.265777', '-0.0254062']
6 ['-0.5705', '-0.146484', '-0.0292969', '-0.762067', '-0.195004', '-0.0429292']
7 ['-0.571675', '-0.146484', '-0.00976562', '-0.770084', '-0.208835', '-0.0210809']
8 ['-0.577694', '-0.126953', '-0.0292969', '-0.710464', '-0.241852', '-0.0476847']
9 ['-0.578844', '-0.127279', '-0.0100915', '-0.730368', '-0.246005', '-0.0236275']
10 ['-0.582504', '-0.0993347', '-0.0602722', '-0.674699', '-0.190103', '-0.135198']
11 ['-0.583465', '-0.102374', '-0.0437805', '-0.689584', '-0.209535', '-0.100881']
12 ['-0.584424', '-0.0864989', '-0.0669677', '-0.687207', '-0.177306', '-0.135487']
13 ['-0.586798', '-0.0878906', '-0.0488281', '-0.708717', '-0.188807', '-0.102475']
14 ['-0.578605', '-0.107617', '-0.068555', '-0.700511', '-0.195945', '-0.103545']
15 ['-0.580391', '-0.111063', '-0.0524694', '-0.715158', '-0.191542', '-0.0932996']
16 ['-0.581358', '-0.0947218', '-0.0751906', '-0.712042', '-0.163462', '-0.124497']
17 ['-0.584448', '-0.105294', '-0.0271689', '-0.710821', '-0.224949', '-0.0642299']
18 ['-0.584939', '-0.10707', '-0.00941395', '-0.747306', '-0.230449', '-0.0222448']
19 ['-0.588676', '-0.0878906', '-0.0292969', '-0.731081', '-0.202462', '-0.0664568']
20 ['-0.589638', '-0.0878906', '-0.00976562', '-0.763122', '-0.212845', '-0.0240332']
21 ['-0.581444', '-0.115098', '-0.0369726', '-0.734389', '-0.206473', '-0.0591373']
22 ['-0.582504', '-0.0609538', '-0.100016', '-0.674699', '-0.135198', '-0.190103']
23 ['-0.584424', '-0.0671983', '-0.0867296', '-0.687207', '-0.135487', '-0.177306']
24 ['-0.583465', '-0.0470437', '-0.105637', '-0.689584', '-0.100881', '-0.209535']
25 ['-0.586798', '-0.0488281', '-0.0878906', '-0.708717', '-0.102475', '-0.188807']
26 ['-0.578605', '-0.0685353', '-0.107598', '-0.700511', '-0.103545', '-0.195945']
27 ['-0.581358', '-0.0742722', '-0.0938034', '-0.712042', '-0.124497', '-0.163462']
28 ['-0.580391', '-0.0501632', '-0.108757', '-0.715158', '-0.0932996', '-0.191542']
29 ['-0.582211', '-0.00501195', '-0.122199', '-0.708817', '-0.0254062', '-0.265777']
30 ['-0.5705', '-0.0292969', '-0.146484', '-0.762067', '-0.0429292', '-0.195004']
31 ['-0.577694', '-0.0292969', '-0.126953', '-0.710464', '-0.0476847', '-0.241852']
32 ['-0.571675', '-0.00976563', '-0.146484', '-0.770084', '-0.0210809', '-0.208835']
33 ['-0.578844', '-0.00991665', '-0.127104', '-0.730368', '-0.0236275', '-0.246005']
34 ['-0.584448', '-0.0286959', '-0.106821', '-0.710821', '-0.0642299', '-0.224949']
35 ['-0.588676', '-0.0292969', '-0.0878906', '-0.731081', '-0.0664568', '-0.202462']
36 ['-0.584939', '-0.00960979', '-0.107266', '-0.747306', '-0.0222448', '-0.230449']
37 ['-0.589638', '-0.00976563', '-0.0878906', '-0.763122', '-0.0240332', '-0.212845']
38 ['-0.581444', '-0.0319619', '-0.110087', '-0.734389', '-0.0591373', '-0.206473']
39 ['-0.587669', '-0.0683594', '-0.0683594', '-0.706391', '-0.146805', '-0.146805']
40 ['-0.590553', '-0.0683594', '-0.0488281', '-0.728164', '-0.158347', '-0.113489']
41 ['-0.590553', '-0.0488281', '-0.0683594', '-0.728164', '-0.113489', '-0.158347']
42 ['-0.593433', '-0.0488281', '-0.0488281', '-0.758381', '-0.120809', '-0.120809']
43 ['-0.592427', '-0.0683594', '-0.0292969', '-0.760454', '-0.167783', '-0.0717628']
44 ['-0.593386', '-0.0683594', '-0.00976562', '-0.797262', '-0.17709', '-0.0256483']
45 ['-0.595303', '-0.0488281', '-0.0292969', '-0.795048', '-0.128392', '-0.0765603']
46 ['-0.596261', '-0.0488281', '-0.00976563', '-0.836511', '-0.136022', '-0.0274668']
47 ['-0.592427', '-0.0292969', '-0.0683594', '-0.760454', '-0.0717628', '-0.167783']
48 ['-0.595303', '-0.0292969', '-0.0488281', '-0.795048', '-0.0765603', '-0.128392']
49 ['-0.593386', '-0.00976563', '-0.0683594', '-0.797262', '-0.0256483', '-0.17709']
50 ['-0.596261', '-0.00976563', '-0.0488281', '-0.836511', '-0.0274668', '-0.136022']
51 ['-0.597171', '-0.0292969', '-0.0292969', '-0.836625', '-0.0816876', '-0.0816876']
52 ['-0.598127', '-0.0292969', '-0.00976562', '-0.883683', '-0.0868917', '-0.0294255']
53 ['-0.598127', '-0.00976563', '-0.0292969', '-0.883683', '-0.0294255', '-0.0868917']
54 ['-0.599083', '-0.00976562', '-0.00976562', '-0.937142', '-0.0314291', '-0.0314291']
55 ['-0.406472', '-0.312671', '-0.156421', '-0.335002', '-0.43505', '-0.229948']
56 ['-0.426778', '-0.313307', '-0.117995', '-0.366744', '-0.452864', '-0.180393']
57 ['-0.410533', '-0.315635', '-0.139854', '-0.332762', '-0.454601', '-0.212636']
58 ['-0.414931', '-0.319528', '-0.124216', '-0.352842', '-0.462368', '-0.18479']
59 ['-0.429806', '-0.31561', '-0.100766', '-0.364508', '-0.471738', '-0.163754']
60 ['-0.43309', '-0.318442', '-0.0840672', '-0.388773', '-0.478178', '-0.133048']
61 ['-0.40804', '-0.333299', '-0.0989245', '-0.351336', '-0.495869', '-0.152795']
62 ['-0.410945', '-0.335395', '-0.0814886', '-0.361352', '-0.504364', '-0.134284']
63 ['-0.416755', '-0.324781', '-0.109937', '-0.359155', '-0.4814', '-0.159446']
64 ['-0.420229', '-0.327966', '-0.0935906', '-0.366385', '-0.500389', '-0.133226']
65 ['-0.446378', '-0.313413', '-0.0595066', '-0.414228', '-0.483503', '-0.102269']
66 ['-0.447884', '-0.314697', '-0.0412597', '-0.427303', '-0.500108', '-0.0725892']
67 ['-0.449204', '-0.315817', '-0.0228487', '-0.43997', '-0.516105', '-0.0439257']
68 ['-0.449883', '-0.316391', '-0.00389051', '-0.452932', '-0.532152', '-0.0149158']
