x y n.x n.y
0.103875 0.00390625 -0.999873 0.0159223 1
0.104154 0.0117188 -0.999064 0.043246 1
0.10458 0.0195312 -0.99808 0.0619339 1
0.105098 0.0273438 -0.996468 0.0839785 1
0.105808 0.0351562 -0.99392 0.110108 1
0.106633 0.0429688 -0.987844 0.155449 1
0.107866 0.0507812 -0.979282 0.202502 1
0.108794 0.0570173 -0.970312 0.241855 1
0.110609 0.0585938 -0.970312 0.241855 1
0.112384 0.0664062 -0.97125 0.23806 1
0.113753 0.0742188 -0.96526 0.261293 1
0.115729 0.0820312 -0.938688 0.344768 1
0.118044 0.0836052 -0.938688 0.344768 1
0.119933 0.0898438 -0.936374 0.351004 1
0.122016 0.0976562 -0.934931 0.354829 1
0.123745 0.104292 -0.908546 0.417785 1
0.126622 0.105848 -0.908546 0.417785 1
0.129325 0.113281 -0.89324 0.44958 1
0.131397 0.119798 -0.879078 0.476678 1
0.134633 0.121644 -0.879078 0.476678 1
0.137609 0.128906 -0.856059 0.516878 1
0.139658 0.134406 -0.854975 0.518669 1
0.143299 0.136719 -0.841479 0.54029 1
0.146314 0.143701 -0.822966 0.568091 1
0.150251 0.145813 -0.822716 0.568452 1
0.153212 0.152283 -0.784723 0.619847 1
0.157461 0.154775 -0.772712 0.634757 1
0.160269 0.160156 -0.750827 0.660499 1
0.162866 0.165387 -0.74216 0.670222 1
0.167555 0.167969 -0.746189 0.665734 1
0.170442 0.1735 -0.750166 0.66125 1
0.175037 0.176169 -0.74381 0.668391 1
0.177906 0.181599 -0.731491 0.681851 1
0.182794 0.184374 -0.70927 0.704937 1
0.185558 0.18932 -0.683751 0.729715 1
0.191128 0.192281 -0.641233 0.767346 1
0.193656 0.196593 -0.611402 0.79132 1
0.199219 0.19895 -0.592798 0.805351 1
0.205039 0.201787 -0.572953 0.819588 1
0.207583 0.205504 -0.57851 0.815675 1
0.214222 0.208779 -0.549194 0.835695 1
0.21664 0.212308 -0.544874 0.838518 1
0.222656 0.214756 -0.504442 0.863446 1
0.228926 0.217441 -0.484454 0.874817 1
0.231513 0.220335 -0.484454 0.874817 1
0.238281 0.223192 -0.453543 0.891234 1
