#1:x 2:y 3:z 4:n.x 5:n.y 6:n.z
-0.582924 -0.0815108 -0.0815108 -0.654666 -0.172667 -0.172667
-0.569502 -0.107422 -0.107422 -0.725522 -0.137239 -0.137239
-0.57469 -0.107422 -0.0878906 -0.69189 -0.14516 -0.16295
-0.57469 -0.0878906 -0.107422 -0.69189 -0.16295 -0.14516
-0.579451 -0.089008 -0.089008 -0.679468 -0.160266 -0.160266
-0.582211 -0.117667 -0.000479104 -0.708817 -0.265777 -0.0254062
-0.5705 -0.146484 -0.0292969 -0.762067 -0.195004 -0.0429292
-0.571675 -0.146484 -0.00976562 -0.770084 -0.208835 -0.0210809
-0.577694 -0.126953 -0.0292969 -0.710464 -0.241852 -0.0476847
-0.578844 -0.127279 -0.0100915 -0.730368 -0.246005 -0.0236275
-0.582504 -0.0993347 -0.0602722 -0.674699 -0.190103 -0.135198
-0.583465 -0.102374 -0.0437805 -0.689584 -0.209535 -0.100881
-0.584424 -0.0864989 -0.0669677 -0.687207 -0.177306 -0.135487
-0.586798 -0.0878906 -0.0488281 -0.708717 -0.188807 -0.102475
-0.578605 -0.107617 -0.068555 -0.700511 -0.195945 -0.103545
-0.580391 -0.111063 -0.0524694 -0.715158 -0.191542 -0.0932996
-0.581358 -0.0947218 -0.0751906 -0.712042 -0.163462 -0.124497
-0.584448 -0.105294 -0.0271689 -0.710821 -0.224949 -0.0642299
-0.584939 -0.10707 -0.00941395 -0.747306 -0.230449 -0.0222448
-0.588676 -0.0878906 -0.0292969 -0.731081 -0.202462 -0.0664568
-0.589638 -0.0878906 -0.00976562 -0.763122 -0.212845 -0.0240332
-0.581444 -0.115098 -0.0369726 -0.734389 -0.206473 -0.0591373
-0.582504 -0.0609538 -0.100016 -0.674699 -0.135198 -0.190103
-0.584424 -0.0671983 -0.0867296 -0.687207 -0.135487 -0.177306
-0.583465 -0.0470437 -0.105637 -0.689584 -0.100881 -0.209535
-0.586798 -0.0488281 -0.0878906 -0.708717 -0.102475 -0.188807
-0.578605 -0.0685353 -0.107598 -0.700511 -0.103545 -0.195945
-0.581358 -0.0742722 -0.0938034 -0.712042 -0.124497 -0.163462
-0.580391 -0.0501632 -0.108757 -0.715158 -0.0932996 -0.191542
-0.582211 -0.00501195 -0.122199 -0.708817 -0.0254062 -0.265777
-0.5705 -0.0292969 -0.146484 -0.762067 -0.0429292 -0.195004
-0.577694 -0.0292969 -0.126953 -0.710464 -0.0476847 -0.241852
-0.571675 -0.00976563 -0.146484 -0.770084 -0.0210809 -0.208835
-0.578844 -0.00991665 -0.127104 -0.730368 -0.0236275 -0.246005
-0.584448 -0.0286959 -0.106821 -0.710821 -0.0642299 -0.224949
-0.588676 -0.0292969 -0.0878906 -0.731081 -0.0664568 -0.202462
-0.584939 -0.00960979 -0.107266 -0.747306 -0.0222448 -0.230449
-0.589638 -0.00976563 -0.0878906 -0.763122 -0.0240332 -0.212845
-0.581444 -0.0319619 -0.110087 -0.734389 -0.0591373 -0.206473
-0.587669 -0.0683594 -0.0683594 -0.706391 -0.146805 -0.146805
-0.590553 -0.0683594 -0.0488281 -0.728164 -0.158347 -0.113489
-0.590553 -0.0488281 -0.0683594 -0.728164 -0.113489 -0.158347
-0.593433 -0.0488281 -0.0488281 -0.758381 -0.120809 -0.120809
-0.592427 -0.0683594 -0.0292969 -0.760454 -0.167783 -0.0717628
-0.593386 -0.0683594 -0.00976562 -0.797262 -0.17709 -0.0256483
-0.595303 -0.0488281 -0.0292969 -0.795048 -0.128392 -0.0765603
-0.596261 -0.0488281 -0.00976563 -0.836511 -0.136022 -0.0274668
-0.592427 -0.0292969 -0.0683594 -0.760454 -0.0717628 -0.167783
-0.595303 -0.0292969 -0.0488281 -0.795048 -0.0765603 -0.128392
-0.593386 -0.00976563 -0.0683594 -0.797262 -0.0256483 -0.17709
-0.596261 -0.00976563 -0.0488281 -0.836511 -0.0274668 -0.136022
-0.597171 -0.0292969 -0.0292969 -0.836625 -0.0816876 -0.0816876
-0.598127 -0.0292969 -0.00976562 -0.883683 -0.0868917 -0.0294255
-0.598127 -0.00976563 -0.0292969 -0.883683 -0.0294255 -0.0868917
-0.599083 -0.00976562 -0.00976562 -0.937142 -0.0314291 -0.0314291
-0.406472 -0.312671 -0.156421 -0.335002 -0.43505 -0.229948
-0.426778 -0.313307 -0.117995 -0.366744 -0.452864 -0.180393
-0.410533 -0.315635 -0.139854 -0.332762 -0.454601 -0.212636
-0.414931 -0.319528 -0.124216 -0.352842 -0.462368 -0.18479
-0.429806 -0.31561 -0.100766 -0.364508 -0.471738 -0.163754
-0.43309 -0.318442 -0.0840672 -0.388773 -0.478178 -0.133048
-0.40804 -0.333299 -0.0989245 -0.351336 -0.495869 -0.152795
-0.410945 -0.335395 -0.0814886 -0.361352 -0.504364 -0.134284
-0.416755 -0.324781 -0.109937 -0.359155 -0.4814 -0.159446
-0.420229 -0.327966 -0.0935906 -0.366385 -0.500389 -0.133226
-0.446378 -0.313413 -0.0595066 -0.414228 -0.483503 -0.102269
-0.447884 -0.314697 -0.0412597 -0.427303 -0.500108 -0.0725892
-0.449204 -0.315817 -0.0228487 -0.43997 -0.516105 -0.0439257
-0.449883 -0.316391 -0.00389051 -0.452932 -0.532152 -0.0149158
-0.426527 -0.332597 -0.0396286 -0.39958 -0.526613 -0.0738072
-0.435394 -0.32115 -0.0672433 -0.399686 -0.494846 -0.105468
-0.435872 -0.32426 -0.0508227 -0.409432 -0.513012 -0.0775559
-0.413888 -0.337558 -0.0641204 -0.375476 -0.518923 -0.105601
-0.415858 -0.339413 -0.0464438 -0.385163 -0.537584 -0.0772528
-0.42332 -0.330247 -0.0763403 -0.377234 -0.520283 -0.102483
-0.425274 -0.331657 -0.0582199 -0.391919 -0.532005 -0.0760757
-0.427525 -0.33335 -0.0208496 -0.411389 -0.544095 -0.0445156
-0.428214 -0.333867 -0.00183614 -0.423576 -0.561195 -0.0152293
-0.437181 -0.325591 -0.0326222 -0.420783 -0.531286 -0.0479313
-0.437922 -0.326199 -0.0136992 -0.433805 -0.549727 -0.0164677
-0.416016 -0.341519 -0.0290191 -0.395828 -0.556416 -0.0477567
-0.416016 -0.342635 -0.0106039 -0.40799 -0.575565 -0.0164452
-0.329562 -0.313319 -0.235194 -0.244006 -0.428052 -0.327942
-0.370085 -0.314399 -0.197211 -0.286213 -0.436674 -0.277113
-0.388686 -0.313895 -0.177176 -0.310125 -0.43746 -0.252414
