x y n.x n.y
0.53494 0.00390625 -0.999999 -0.00142137 1
0.534919 0.0117188 -0.999993 -0.00380166 1
0.534882 0.0195312 -0.99998 -0.00636219 1
0.534821 0.0273438 -0.999974 -0.00722042 1
0.534769 0.0351562 -0.99999 -0.00443464 1
0.53475 0.0429688 -0.999999 -0.00161568 1
0.534744 0.0507812 -0.999996 -0.00272172 1
0.53471 0.0585938 -0.999974 -0.0072306 1
0.534635 0.0664062 -0.999944 -0.0105573 1
0.534548 0.0742188 -0.999939 -0.0110249 1
0.534467 0.0820312 -0.999899 -0.0142281 1
0.534335 0.0898438 -0.999816 -0.0191609 1
0.534178 0.0976562 -0.99977 -0.0214524 1
0.534007 0.105469 -0.999799 -0.020037 1
0.533866 0.113281 -0.99986 -0.016721 1
0.53375 0.121094 -0.999799 -0.0200459 1
0.604098 0.00390625 1 0.000880872 1
0.604085 0.0117188 0.999998 0.00176827 1
0.604072 0.0195312 0.999997 0.00248144 1
0.604049 0.0273438 0.999994 0.00343301 1
0.604021 0.0351562 0.999993 0.00375885 1
0.60399 0.0429688 0.999994 0.00340987 1
0.603966 0.0507812 0.999996 0.00277575 1
0.603945 0.0585938 0.999998 0.00188019 1
0.603933 0.0664062 1 0.000197192 1
0.603942 0.0742188 0.999997 -0.00242959 1
0.603979 0.0820312 0.999982 -0.00594117 1
0.604046 0.0898438 0.999947 -0.0102899 1
0.604152 0.0976562 0.999877 -0.0156842 1
0.604302 0.105469 0.99975 -0.0223597 1
0.60451 0.113281 0.99953 -0.030644 1
0.604783 0.121094 0.999189 -0.0402668 1
0.530834 0.183594 -0.997731 -0.0673326 1
0.533576 0.128906 -0.999591 -0.0286044 1
0.533338 0.136719 -0.999382 -0.0351378 1
0.533061 0.144531 -0.999259 -0.0384944 1
0.532768 0.152344 -0.999176 -0.0405758 1
0.532465 0.160156 -0.999005 -0.0445926 1
0.532127 0.167969 -0.998688 -0.0512021 1
0.53174 0.175781 -0.998289 -0.0584653 1
0.531412 0.182094 -0.997731 -0.0673326 1
0.530273 0.191406 -0.996984 -0.07761 1
0.529651 0.199219 -0.996136 -0.0878199 1
0.528963 0.207031 -0.99514 -0.0984722 1
0.528209 0.214844 -0.994027 -0.10913 1
0.527393 0.222656 -0.99283 -0.119533 1
0.526517 0.230469 -0.991717 -0.128441 1
0.525597 0.238281 -0.99072 -0.135922 1
0.524633 0.246094 -0.989748 -0.142823 1
0.605128 0.128906 0.998655 -0.051847 1
0.605561 0.136719 0.997844 -0.0656336 1
0.60609 0.144531 0.9967 -0.0811676 1
0.606722 0.152344 0.995132 -0.0985536 1
0.607462 0.160156 0.992831 -0.119525 1
0.608342 0.167969 0.989924 -0.141598 1
0.609046 0.1739 0.987028 -0.16055 1
0.610352 0.175781 0.987028 -0.16055 1
0.611547 0.183594 0.983544 -0.180671 1
0.612867 0.191406 0.978829 -0.204679 1
0.614315 0.199219 0.971758 -0.235978 1
0.61598 0.207031 0.966131 -0.258053 1
0.61782 0.208568 0.966131 -0.258053 1
0.619156 0.214844 0.962469 -0.271393 1
0.621012 0.222656 0.953847 -0.300292 1
0.623087 0.230469 0.947022 -0.32117 1
0.624423 0.236043 0.945004 -0.327059 1
0.626849 0.238281 0.945004 -0.327059 1
0.629002 0.246094 0.93706 -0.349168 1
0.522682 0.253906 -0.988599 -0.150574 1
0.521596 0.261719 -0.987706 -0.156324 1
0.523834 0.252604 -0.988599 -0.150574 1
0.520506 0.269531 -0.98752 -0.157491 1
0.519418 0.277344 -0.987682 -0.156472 1
0.515227 0.301948 -0.989613 -0.143758 1
0.514369 0.308594 -0.989644 -0.14354 1
0.51834 0.285156 -0.988312 -0.152445 1
0.517293 0.292969 -0.989428 -0.145026 1
0.51631 0.300781 -0.989613 -0.143758 1
0.513403 0.316406 -0.990807 -0.135282 1
0.512497 0.324219 -0.992147 -0.125077 1
0.511653 0.332031 -0.993539 -0.113493 1
0.510883 0.339844 -0.995004 -0.0998335 1
0.5102 0.347656 -0.996469 -0.0839571 1
0.509622 0.355469 -0.9978 -0.066289 1
0.509155 0.363281 -0.998939 -0.0460516 1
0.508822 0.371094 -0.999815 -0.0192367 1
0.508802 0.378906 -0.999763 0.0217751 1
0.50931 0.386719 -0.996135 0.0878407 1
0.510331 0.394531 -0.98579 0.167983 1
0.51176 0.402344 -0.96155 0.274631 1
0.513798 0.41003 -0.900337 0.435193 1
0.516672 0.411896 -0.900337 0.435193 1
0.519382 0.417969 -0.790909 0.611934 1
0.521882 0.423501 -0.722596 0.69127 1
0.527344 0.426187 -0.651926 0.758282 1
0.529901 0.430628 -0.571879 0.820338 1
0.535156 0.43221 -0.48926 0.872138 1
0.542969 0.434788 -0.335376 0.942084 1
0.550719 0.436717 -0.199574 0.979883 1
0.551805 0.438087 -0.199574 0.979883 1
0.558594 0.438507 -0.0735918 0.997288 1
0.574954 0.437002 0.155115 0.987896 1
0.582031 0.435541 0.256336 0.966588 1
0.589844 0.433532 0.356578 0.934265 1
0.598724 0.428226 0.457685 0.889114 1
0.59702 0.431371 0.457685 0.889114 1
0.605469 0.425557 0.549067 0.835779 1
0.613602 0.418962 0.630584 0.776121 1
0.622062 0.411027 0.718614 0.695409 1
0.619354 0.416063 0.678498 0.734603 1
0.611187 0.423232 0.599365 0.800476 1
0.566406 0.438544 0.0411538 0.999153 1
0.574219 0.438146 0.155115 0.987896 1
0.631363 0.253827 0.935177 -0.35418 1
0.633719 0.25542 0.935177 -0.35418 1
0.635337 0.261719 0.93918 -0.343426 1
0.637578 0.269531 0.935849 -0.352401 1
0.639582 0.276341 0.941089 -0.33816 1
0.64183 0.277896 0.941089 -0.33816 1
0.643666 0.285156 0.950453 -0.310868 1
0.645653 0.292969 0.95276 -0.303725 1
0.647506 0.300171 0.962335 -0.271866 1
0.649356 0.301438 0.962335 -0.271866 1
0.650675 0.308594 0.976562 -0.215238 1
0.651928 0.316406 0.986186 -0.165642 1
0.65292 0.324219 0.993896 -0.110321 1
0.653551 0.332031 0.999161 -0.0409619 1
0.653576 0.339844 0.999328 0.0366435 1
0.652959 0.347656 0.993234 0.116133 1
0.651875 0.355469 0.981023 0.193893 1
0.646837 0.371094 0.941944 0.335769 1
0.650388 0.363281 0.963907 0.26624 1
0.649184 0.369282 0.941944 0.335769 1
0.638979 0.387617 0.877229 0.480072 1
0.629837 0.402431 0.788871 0.614559 1
0.636067 0.394531 0.838338 0.545151 1
0.63395 0.400026 0.812958 0.582322 1
0.644408 0.378906 0.912427 0.40924 1
0.642158 0.385613 0.877229 0.480072 1
0.626883 0.408388 0.750476 0.660898 1
