x,y,r
0.568286,0.37749,0.059572
0.573557,0.36872,0.064689
0.578195,0.356743,0.068862
0.581556,0.344426,0.070809
0.582649,0.331861,0.070606
0.582076,0.318876,0.068556
0.581325,0.30588,0.065483
0.580235,0.295849,0.062969
0.578915,0.281024,0.059469
0.577833,0.271558,0.05691
0.57642,0.25697,0.052958
0.575194,0.245897,0.050312
0.574055,0.227924,0.04696
0.573091,0.219564,0.045136
0.571967,0.204136,0.042625
0.571179,0.189165,0.040517
0.570583,0.17845,0.039022
0.570054,0.165474,0.037821
0.569688,0.152452,0.036933
0.569449,0.138541,0.036162
0.569267,0.122166,0.035534
0.569155,0.106214,0.035156
0.569191,0.090357,0.03486
0.569245,0.074452,0.034698
0.569327,0.058686,0.034618
0.56937,0.042938,0.03462
0.569435,0.027409,0.034614
0.569502,0.011754,0.034583
0.569519,0.003916,0.034579
