x y z n.x n.y n.z
0 0.499874 0 -0.015871 -0.999874 -0.000991938
0.015625 0.499626 0 -0.015871 -0.999874 -0.000991938
0.015625 0.49961 0.015625 -0.015871 -0.999874 -0.000991938
0 0.499858 0.015625 -0.015871 -0.999874 -0.000991938
0 0.499844 0.015625 -0.0158709 -0.99987 -0.0029758
0.015625 0.499596 0.015625 -0.0158709 -0.99987 -0.0029758
0.015625 0.499549 0.03125 -0.0158709 -0.99987 -0.0029758
0 0.499797 0.03125 -0.0158709 -0.99987 -0.0029758
0.015625 0.499427 0 -0.0475651 -0.998868 -0.00099094
0.03125 0.498683 0 -0.0475651 -0.998868 -0.00099094
0.03125 0.498667 0.015625 -0.0475651 -0.998868 -0.00099094
0.015625 0.499411 0.015625 -0.0475651 -0.998868 -0.00099094
0.015625 0.4994 0.015625 -0.0475649 -0.998864 -0.00297281
0.03125 0.498656 0.015625 -0.0475649 -0.998864 -0.00297281
0.03125 0.498609 0.03125 -0.0475649 -0.998864 -0.00297281
0.015625 0.499353 0.03125 -0.0475649 -0.998864 -0.00297281
0 0.499784 0.03125 -0.0158708 -0.999862 -0.00495963
0.015625 0.499536 0.03125 -0.0158708 -0.999862 -0.00495963
0.015625 0.499459 0.046875 -0.0158708 -0.999862 -0.00495963
0 0.499707 0.046875 -0.0158708 -0.999862 -0.00495963
0 0.499694 0.046875 -0.0158706 -0.99985 -0.0069434
0.015625 0.499446 0.046875 -0.0158706 -0.99985 -0.0069434
0.015625 0.499338 0.0625 -0.0158706 -0.99985 -0.0069434
0 0.499586 0.0625 -0.0158706 -0.99985 -0.0069434
0.015625 0.499343 0.03125 -0.0475646 -0.998856 -0.00495464
0.03125 0.498599 0.03125 -0.0475646 -0.998856 -0.00495464
0.03125 0.498522 0.046875 -0.0475646 -0.998856 -0.00495464
0.015625 0.499266 0.046875 -0.0475646 -0.998856 -0.00495464
0.015625 0.499258 0.046875 -0.047564 -0.998844 -0.00693642
0.03125 0.498514 0.046875 -0.047564 -0.998844 -0.00693642
0.03125 0.498405 0.0625 -0.047564 -0.998844 -0.00693642
0.015625 0.49915 0.0625 -0.047564 -0.998844 -0.00693642
0.03125 0.498565 0 -0.0791163 -0.996865 -0.000988953
0.046875 0.497325 0 -0.0791163 -0.996865 -0.000988953
0.046875 0.49731 0.015625 -0.0791163 -0.996865 -0.000988953
0.03125 0.49855 0.015625 -0.0791163 -0.996865 -0.000988953
0.03125 0.498542 0.015625 -0.079116 -0.996861 -0.00296685
0.046875 0.497302 0.015625 -0.079116 -0.996861 -0.00296685
0.046875 0.497255 0.03125 -0.079116 -0.996861 -0.00296685
0.03125 0.498495 0.03125 -0.079116 -0.996861 -0.00296685
0.046875 0.49732 0 -0.110431 -0.993883 -0.000985995
0.0625 0.495584 0 -0.110431 -0.993883 -0.000985995
0.0625 0.495568 0.015625 -0.110431 -0.993883 -0.000985995
0.046875 0.497304 0.015625 -0.110431 -0.993883 -0.000985995
0.046875 0.4973 0.015625 -0.110431 -0.993879 -0.00295797
0.0625 0.495563 0.015625 -0.110431 -0.993879 -0.00295797
0.0625 0.495517 0.03125 -0.110431 -0.993879 -0.00295797
0.046875 0.497253 0.03125 -0.110431 -0.993879 -0.00295797
