x y n.x n.y
1.8736 0.599159 -0.864414 -0.502781 1
1.87187 0.605469 -0.927973 -0.372647 1
1.86667 0.622458 -0.980231 -0.197858 1
1.8698 0.613281 -0.960929 -0.276796 1
1.86813 0.621094 -0.980231 -0.197858 1
1.86601 0.628906 -0.991838 -0.127506 1
1.86546 0.636719 -0.998039 -0.0626022 1
1.86535 0.644531 -0.999996 -0.00267606 1
1.86545 0.652344 -0.998839 0.0481637 1
1.86589 0.660156 -0.996225 0.0868081 1
1.86657 0.667969 -0.993887 0.110406 1
1.86746 0.669381 -0.993887 0.110406 1
1.86816 0.675781 -0.993546 0.113429 1
1.86889 0.683594 -0.995915 0.0902967 1
1.86933 0.691406 -0.999111 0.0421513 1
1.8694 0.699219 -0.999685 -0.0251062 1
1.86686 0.716822 -0.986008 -0.166701 1
1.86906 0.707031 -0.995027 -0.0996081 1
1.86823 0.714844 -0.986008 -0.166701 1
1.86576 0.722656 -0.977561 -0.210651 1
1.86424 0.730469 -0.975623 -0.219455 1
1.86279 0.738281 -0.981761 -0.190118 1
1.86159 0.746094 -0.99274 -0.120279 1
1.8801 0.590592 -0.759025 -0.651061 1
1.88751 0.583358 -0.63806 -0.769987 1
1.88481 0.587885 -0.698849 -0.715269 1
1.89655 0.577103 -0.475432 -0.879753 1
1.90234 0.575674 -0.289049 -0.957314 1
1.8941 0.580079 -0.490442 -0.871474 1
1.87698 0.597036 -0.855978 -0.517013 1
1.91016 0.574446 -0.0694475 -0.997586 1
1.91797 0.574834 0.199999 -0.979796 1
1.92527 0.576399 0.453703 -0.891153 1
1.92693 0.579531 0.454558 -0.890717 1
1.93355 0.582615 0.652017 -0.758204 1
1.93621 0.58732 0.731251 -0.682108 1
1.94055 0.589893 0.78456 -0.620053 1
1.94372 0.596842 0.888794 -0.458307 1
1.94673 0.598813 0.889231 -0.457458 1
1.94841 0.605469 0.953093 -0.302678 1
1.94993 0.613281 0.985429 -0.170085 1
1.95081 0.621094 0.998192 -0.0601002 1
1.93688 0.722656 0.995431 0.0954888 1
1.93612 0.730469 0.993429 0.114453 1
1.93515 0.738281 0.987847 0.15543 1
1.93387 0.746094 0.974883 0.222717 1
1.95093 0.628906 0.999543 0.0302211 1
1.95032 0.636719 0.994823 0.101619 1
1.94936 0.644531 0.988217 0.153057 1
1.94818 0.652344 0.982715 0.185127 1
1.9443 0.667969 0.979931 0.199336 1
1.94686 0.660156 0.979769 0.200131 1
1.9458 0.666437 0.979931 0.199336 1
1.94299 0.675781 0.982291 0.187362 1
1.94178 0.683594 0.985739 0.168279 1
1.94069 0.691406 0.989308 0.145844 1
1.93972 0.699219 0.992352 0.123438 1
1.9389 0.707031 0.994512 0.104627 1
1.93817 0.714844 0.995586 0.0938489 1
1.9377 0.720851 0.995431 0.0954888 1
1.86084 0.753906 -0.999967 -0.00806451 1
1.86155 0.761719 -0.98437 0.176112 1
1.86353 0.769531 -0.901021 0.433776 1
1.86568 0.775493 -0.805601 0.592458 1
1.87018 0.778198 -0.713484 0.700671 1
1.87293 0.782812 -0.603047 0.797706 1
1.87891 0.78505 -0.464489 0.885579 1
1.88672 0.787434 -0.209209 0.977871 1
1.89453 0.788172 0.0629946 0.998014 1
1.90234 0.786521 0.305607 0.952158 1
1.91224 0.780066 0.545469 0.838131 1
1.92073 0.771938 0.794512 0.607249 1
1.91793 0.777231 0.699822 0.714317 1
1.92789 0.761898 0.900645 0.434555 1
1.93218 0.753906 0.948513 0.316738 1
1.93075 0.760025 0.901019 0.43378 1
1.9247 0.769531 0.818986 0.573813 1
1.91016 0.783879 0.528796 0.848749 1
