x y n.x n.y
0.0618551 0.193353 -0.949895 -0.312569 2
0.06217 0.198003 -0.992562 0.121738 2
0.066808 0.185135 -0.559379 -0.828912 2
0.0647808 0.191061 -0.842047 -0.539404 2
0.0639326 0.199219 -0.993243 0.116054 2
0.0660265 0.207031 -0.871452 0.490481 2
0.0682511 0.213185 -0.73698 0.675915 2
0.0670327 0.270556 -0.66 -0.751265 5
0.064653 0.277344 -0.953357 -0.301843 5
0.0663871 0.285156 -0.930935 0.365186 5
0.0687839 0.291713 -0.866231 0.499643 5
0.0773578 0.150124 -0.910262 0.414033 1
0.0742188 0.184313 0.438434 -0.898763 2
0.0763722 0.189283 0.713197 -0.700964 2
0.0742188 0.21607 0.0357941 0.999359 2
0.0742188 0.268778 0.38185 -0.924225 5
0.0717283 0.293989 -0.897817 0.440368 5
0.0747399 0.300399 -0.721173 0.692755 5
0.0843357 0.115121 -0.790415 -0.612572 1
0.0836873 0.121094 -0.910433 -0.413656 1
0.0829336 0.128906 -0.987141 -0.159851 1
0.0817474 0.136719 -0.976874 -0.213817 1
0.079974 0.144531 -0.976523 0.215412 1
0.0820312 0.152276 -0.645824 0.763486 1
0.0793504 0.192749 0.9022 -0.431318 2
0.080946 0.199219 0.97368 -0.227918 2
0.0818645 0.207031 0.960066 0.279775 2
0.0802292 0.21345 0.766673 0.642037 2
0.0791035 0.271859 0.849914 -0.526921 5
0.0802584 0.277344 0.883357 -0.468701 5
0.0831247 0.285156 0.889547 -0.456844 5
0.0856209 0.291471 0.991466 -0.130366 5
0.0834885 0.303886 0.311101 0.950377 5
0.0820312 0.305279 -0.003798 0.999993 5
0.0825228 0.332971 -0.655887 -0.754859 6
0.0809488 0.339844 -0.993214 -0.116304 6
0.0835339 0.346804 -0.785823 0.618452 6
0.0898438 0.113767 -0.168298 -0.985736 1
0.0927194 0.145866 0.928221 0.372028 1
0.0898438 0.152988 0.53345 0.845831 1
0.0884962 0.292969 0.950335 -0.311228 5
0.0890158 0.300781 0.856765 0.515706 5
0.0875454 0.305764 0.556424 0.830899 5
0.0898438 0.332014 0.092226 -0.995738 6
0.0884236 0.348704 -0.754583 0.656205 6
0.0913284 0.353946 -0.701419 0.712749 6
0.0962909 0.114767 0.689731 -0.724065 1
0.0975039 0.121094 0.921955 -0.387298 1
0.0968767 0.128906 0.986822 0.161807 1
0.0952841 0.136719 0.983564 0.180558 1
0.0946695 0.144076 0.966298 0.257426 1
0.0960656 0.334189 0.602641 -0.798013 6
0.098335 0.338687 0.648419 -0.761284 6
0.0963636 0.357055 -0.663864 0.747854 6
0.098897 0.361505 -0.624187 0.781275 6
0.103443 0.341756 0.72742 -0.686193 6
0.10638 0.347097 0.745291 -0.666739 6
0.105469 0.364672 -0.136804 0.990598 6
0.111031 0.349709 0.745831 -0.666135 6
0.114181 0.355469 0.970363 -0.241653 6
0.113102 0.363281 0.725329 0.688403 6
0.123297 0.386719 -0.988218 -0.153052 7
0.123441 0.392851 -0.819097 0.573655 7
0.129979 0.0820959 -0.804813 -0.593528 3
0.128692 0.0898438 -0.853224 0.521545 3
0.130364 0.0949425 -0.437913 0.899017 3
0.129104 0.380607 -0.51126 -0.859426 7
0.125846 0.384906 -0.9271 -0.374814 7
0.128906 0.394348 -0.637326 0.770595 7
0.137924 0.0771938 -0.325975 -0.945378 3
0.136344 0.0789922 -0.238489 -0.971145 3
0.136719 0.0929869 0.179328 0.983789 3
0.135855 0.0943817 0.203248 0.979127 3
0.139635 0.192522 -0.942408 -0.334465 4
0.138141 0.199219 -0.965426 -0.260677 4
0.136599 0.207031 -0.97735 -0.211631 4
0.135292 0.214844 -0.986818 -0.161835 4
0.134254 0.222656 -0.994731 -0.102518 4
0.133538 0.230469 -0.999056 -0.0434349 4
0.133264 0.238281 -0.999988 0.00487072 4
0.13372 0.246094 -0.998113 0.061411 4
0.134553 0.253906 -0.992147 0.125079 4
0.135689 0.261719 -0.983613 0.180291 4
0.137087 0.269531 -0.971546 0.23685 4
0.138796 0.277344 -0.952477 0.304611 4
0.139986 0.282872 -0.930368 0.366628 4
0.136719 0.379923 0.014643 -0.999893 7
0.136719 0.396828 -0.29464 0.955608 7
0.138755 0.399009 -0.292185 0.956362 7
0.147407 0.0687044 -0.841946 -0.539562 3
0.145186 0.0745489 -0.739921 -0.672694 3
0.145177 0.0820312 0.96003 0.279897 3
0.143095 0.0887733 0.754033 0.656837 3
0.146652 0.176457 -0.875272 -0.483631 4
0.144135 0.183594 -0.914247 -0.405157 4
0.141565 0.191171 -0.968734 -0.2481 4
0.148265 0.230469 0.999979 0.00644204 4
0.148196 0.238281 0.999923 -0.0124417 4
0.148356 0.246059 0.999777 -0.0210963 4
0.142683 0.285156 -0.939186 0.34341 4
0.145246 0.292969 -0.899129 0.437683 4
0.147215 0.298954 -0.861888 0.507098 4
0.144531 0.380992 0.329479 -0.944163 7
0.146723 0.383508 0.37607 -0.926591 7
0.146158 0.397963 0.20378 0.979017 7
0.144531 0.3992 0.0430993 0.999071 7
0.153521 0.0601287 -0.655914 -0.754836 3
0.151466 0.0663201 -0.78361 -0.621253 3
0.152344 0.0801335 0.284609 0.958644 3
0.15492 0.162244 -0.807283 -0.590165 4
0.152559 0.167969 -0.836329 -0.548228 4
0.149607 0.174502 -0.913518 -0.406799 4
