x y n.x n.y
0.0698701 0.189453 -0.993481 -0.113996 1
0.069495 0.193359 -0.994661 -0.103194 1
0.0691484 0.197266 -0.995172 -0.0981465 1
0.0687952 0.201172 -0.995238 -0.0974759 1
0.0684491 0.205078 -0.995986 -0.0895143 1
0.0681386 0.208984 -0.998011 -0.0630359 1
0.0678828 0.212891 -0.999334 -0.0364962 1
0.0676847 0.216797 -0.999606 -0.0280533 1
0.0675247 0.220703 -0.999744 -0.0226148 1
0.0674073 0.224609 -0.999819 -0.0190036 1
0.0673321 0.228516 -0.999884 -0.0152065 1
0.0673 0.232422 -0.999965 -0.00840855 1
0.0673242 0.236328 -0.999988 -0.00497366 1
0.067393 0.240234 -0.999955 -0.00952252 1
0.0674749 0.244141 -0.999943 0.0106808 1
0.0676305 0.248047 -0.999738 0.022872 1
0.0678232 0.251953 -0.999075 0.0429979 1
0.0680641 0.255859 -0.997759 0.0669147 1
0.0683459 0.259766 -0.996656 0.0817126 1
0.068659 0.263672 -0.995683 0.0928139 1
0.0690092 0.267578 -0.994597 0.10381 1
0.0693649 0.271484 -0.992187 0.124757 1
0.0697716 0.275391 -0.988134 0.153596 1
0.0701772 0.278409 -0.992031 0.125994 1
0.0738259 0.166126 -0.978018 -0.208522 1
0.0731518 0.169922 -0.9816 -0.190951 1
0.0725422 0.173828 -0.984516 -0.175297 1
0.071907 0.177734 -0.989759 -0.142747 1
0.071258 0.181641 -0.993335 -0.11526 1
0.0706274 0.185547 -0.996843 -0.0793921 1
0.0741713 0.208984 0.999865 0.0164341 1
0.0739469 0.212891 0.999315 0.0370094 1
0.0737815 0.216797 0.999626 0.0273369 1
0.073657 0.220703 0.999809 0.0195441 1
0.0735648 0.224609 0.99997 -0.00771014 1
0.0735385 0.228516 0.999919 -0.0127499 1
0.0735618 0.232422 0.999938 -0.0111271 1
0.0736039 0.236328 0.999898 -0.0142725 1
0.0736726 0.240234 0.999682 -0.0252295 1
0.0737922 0.244141 0.999413 -0.0342672 1
0.0739619 0.248047 0.999457 -0.0329444 1
0.0741289 0.251953 0.999681 -0.0252559 1
0.070355 0.271484 -0.999917 -0.0129055 1
0.0704538 0.275391 -0.999479 0.0322886 1
0.0707799 0.279297 -0.999067 -0.0431836 1
0.0711412 0.283203 -0.996216 0.086908 1
0.0717677 0.287109 -0.984282 0.176603 1
0.0724407 0.291016 -0.980857 0.194731 1
0.073097 0.294922 -0.982143 0.188135 1
0.0737085 0.298828 -0.982697 0.185221 1
0.0776949 0.150967 -0.954513 -0.298171 1
0.0769077 0.154297 -0.9628 -0.270216 1
0.0760217 0.158203 -0.972164 -0.234303 1
0.0751283 0.162109 -0.9863 -0.164962 1
0.0743575 0.165826 -0.996919 -0.07844 1
0.0778441 0.177734 0.995275 0.0970962 1
0.0772495 0.181641 0.994808 0.101767 1
0.0766865 0.185547 0.994641 0.103388 1
0.0761851 0.189453 0.991854 0.127382 1
0.0757062 0.193359 0.991882 0.127162 1
0.0752751 0.197266 0.994372 0.105945 1
0.0749196 0.201172 0.996436 0.0843539 1
0.0746295 0.205078 0.997468 0.0711126 1
0.0743812 0.208984 0.997827 0.0658822 1
0.0743282 0.252099 0.99817 -0.0604711 1
0.07461 0.255859 0.996799 -0.0799543 1
0.0749362 0.259766 0.995739 -0.0922123 1
0.0753009 0.263672 0.994392 -0.105753 1
0.0757102 0.267578 0.992846 -0.119404 1
0.0761625 0.271484 0.991099 -0.133127 1
0.0766729 0.275391 0.988981 -0.148043 1
0.0773218 0.279297 0.988927 -0.148402 1
0.077953 0.283182 0.996062 -0.0886593 1
0.0742908 0.298828 -0.999546 0.0301377 1
0.0748858 0.302734 -0.989189 0.146648 1
0.0756112 0.306641 -0.974407 0.224789 1
0.0764519 0.310547 -0.96078 0.277313 1
0.0774091 0.314453 -0.95208 0.305849 1
0.0815918 0.139538 -0.927152 -0.374685 1
0.0807571 0.142578 -0.94085 -0.338823 1
