x y n.x n.y
0.136627 0.202342 -0.993172 -0.116657 1
0.136465 0.204102 -0.994827 -0.101588 1
0.136304 0.206055 -0.996247 -0.086557 1
0.136166 0.208008 -0.997415 -0.0718619 1
0.136052 0.209961 -0.998354 -0.0573497 1
0.135962 0.211914 -0.999087 -0.0427205 1
0.135898 0.213867 -0.999608 -0.0279958 1
0.13586 0.21582 -0.999912 -0.0132881 1
0.13585 0.217773 -0.999999 0.0015015 1
0.135866 0.219727 -0.999866 0.0163441 1
0.135909 0.22168 -0.999519 0.0310281 1
0.135978 0.223633 -0.998963 0.0455257 1
0.136073 0.225586 -0.998201 0.0599604 1
0.136191 0.227539 -0.997217 0.0745491 1
0.136333 0.229492 -0.99598 0.0895762 1
0.1365 0.231445 -0.994503 0.104712 1
0.136645 0.233032 -0.9928 0.11978 1
0.138489 0.190538 -0.978476 -0.206359 1
0.138183 0.192383 -0.981617 -0.190859 1
0.137874 0.194336 -0.984466 -0.175575 1
0.137586 0.196289 -0.987016 -0.160621 1
0.137318 0.198242 -0.989293 -0.145945 1
0.13707 0.200195 -0.991329 -0.131405 1
0.136843 0.202148 -0.993172 -0.116657 1
0.136886 0.233398 -0.9928 0.11978 1
0.137119 0.235352 -0.990857 0.134916 1
0.137372 0.237305 -0.988658 0.150188 1
0.137647 0.239258 -0.986148 0.165868 1
0.137943 0.241211 -0.983291 0.182039 1
0.138262 0.243164 -0.980203 0.197997 1
0.13853 0.244789 -0.976749 0.214387 1
0.140376 0.182707 -0.96292 -0.269789 1
0.139975 0.18457 -0.967283 -0.253701 1
0.139569 0.186523 -0.97132 -0.237777 1
0.139182 0.188477 -0.97502 -0.222117 1
0.138847 0.190284 -0.978476 -0.206359 1
0.138913 0.245117 -0.976749 0.214387 1
0.139293 0.24707 -0.972836 0.231494 1
0.139693 0.249023 -0.968694 0.24826 1
0.140115 0.250977 -0.964598 0.263723 1
0.140448 0.252559 -0.959947 0.280181 1
0.142214 0.176758 -0.948333 -0.317277 1
0.141713 0.178711 -0.9535 -0.301393 1
0.141231 0.180664 -0.958344 -0.285617 1
0.140834 0.182388 -0.96292 -0.269789 1
0.140931 0.25293 -0.959947 0.280181 1
0.14141 0.254883 -0.954152 0.299322 1
0.141913 0.256836 -0.948206 0.317657 1
0.142335 0.258497 -0.942318 0.33472 1
0.14422 0.171089 -0.929607 -0.368554 1
0.143716 0.172852 -0.936134 -0.351644 1
0.143158 0.174805 -0.942442 -0.33437 1
0.142764 0.176336 -0.948333 -0.317277 1
0.142893 0.258879 -0.942318 0.33472 1
0.143422 0.260742 -0.93555 0.353195 1
0.144008 0.262695 -0.928155 0.372195 1
0.145993 0.166992 -0.915472 -0.402381 1
0.145357 0.168945 -0.922733 -0.385439 1
0.144831 0.170677 -0.929607 -0.368554 1
0.144691 0.263274 -0.928155 0.372195 1
0.145082 0.264648 -0.920727 0.390206 1
0.145729 0.266602 -0.912193 0.409761 1
0.146212 0.268149 -0.902641 0.430394 1
0.148244 0.161731 -0.890558 -0.454869 1
0.14783 0.163086 -0.899206 -0.437525 1
0.147134 0.165039 -0.907528 -0.419993 1
0.146688 0.16648 -0.915472 -0.402381 1
0.146922 0.268613 -0.902641 0.430394 1
0.147611 0.270508 -0.892561 0.450927 1
0.148138 0.272045 -0.88202 0.471212 1
0.149812 0.15918 -0.880669 -0.473731 1
0.149053 0.161133 -0.890221 -0.455529 1
0.148915 0.272544 -0.88202 0.471212 1
0.14966 0.274414 -0.870368 0.492403 1
0.150151 0.275801 -0.86302 0.505171 1
0.151854 0.155426 -0.859839 -0.510565 1
0.151119 0.157227 -0.870956 -0.491361 1
0.150619 0.158629 -0.880674 -0.473723 1
0.151018 0.276367 -0.857565 0.514375 1
0.151807 0.278188 -0.843919 0.53647 1
0.153953 0.151809 -0.84092 -0.54116 1
0.153341 0.15332 -0.848457 -0.529264 1
0.152697 0.154891 -0.859839 -0.510565 1
0.152699 0.278737 -0.844243 0.535961 1
0.153357 0.280273 -0.828837 0.559491 1
0.15397 0.281722 -0.822493 0.568775 1
0.155652 0.14952 -0.824568 -0.565762 1
0.154858 0.151251 -0.837316 -0.54672 1
0.15494 0.282306 -0.812644 0.582761 1
0.155712 0.283916 -0.798142 0.602469 1
0.157882 0.146049 -0.805015 -0.593254 1
0.157261 0.147461 -0.811013 -0.585028 1
0.156591 0.148943 -0.82902 -0.559218 1
0.156733 0.284517 -0.797751 0.602987 1
0.157488 0.286036 -0.776026 0.630701 1
0.159661 0.14389 -0.79136 -0.611351 1
0.158896 0.145447 -0.79754 -0.603266 1
0.158571 0.286664 -0.771366 0.636392 1
0.159299 0.288086 -0.754658 0.656118 1
0.16146 0.141794 -0.770058 -0.637974 1
0.160709 0.143278 -0.78499 -0.619508 1
0.160441 0.288744 -0.745504 0.666501 1
0.161112 0.290039 -0.731748 0.681576 1
0.161795 0.291341 -0.71936 0.694638 1
0.163289 0.139742 -0.751873 -0.659308 1
0.162554 0.141155 -0.766577 -0.642152 1
0.163051 0.292028 -0.70651 0.707703 1
0.163737 0.293283 -0.69374 0.720226 1
0.16515 0.137735 -0.73422 -0.678911 1
0.164432 0.139085 -0.745796 -0.666174 1
0.165039 0.293962 -0.679655 0.733532 1
0.167044 0.135769 -0.716379 -0.697712 1
0.166341 0.137063 -0.726366 -0.687309 1
0.166337 0.294637 -0.663529 0.748151 1
0.166992 0.295766 -0.651824 0.758371 1
0.168973 0.133839 -0.698548 -0.715563 1
0.168285 0.135082 -0.707321 -0.706893 1
0.168426 0.296505 -0.628891 0.777493 1
0.169056 0.297566 -0.623607 0.781738 1
0.170938 0.131941 -0.680796 -0.732473 1
0.170265 0.133138 -0.688624 -0.725119 1
0.170598 0.298328 -0.594779 0.803889 1
0.171196 0.299326 -0.590997 0.806674 1
0.17294 0.130075 -0.662342 -0.749202 1
0.172284 0.131227 -0.668818 -0.743426 1
0.172852 0.300105 -0.567068 0.823671 1
0.173426 0.301047 -0.551303 0.834305 1
0.174984 0.128238 -0.642363 -0.7664 1
0.174346 0.129346 -0.647082 -0.76242 1
0.175725 0.208419 0.995093 0.0989442 1
0.175626 0.209961 0.997104 0.0760529 1
0.175522 0.211914 0.99858 0.0532648 1
0.175458 0.213867 0.999546 0.0301375 1
0.175437 0.21582 0.999977 0.00680564 1
0.175441 0.217773 0.999867 -0.016293 1
